Signal ID,Location Name,Operation State,Operation Text,Operation State Datetime,Processed Datetime,Plan ID,Primary St,Cross St,Location
4035,5400 BLK TERCELLO LN (Delacour Dr (Apple Campus)),3,Communication issue,05/06/2025 10:39:39 PM,05/06/2025 10:40:15 PM,254, TERCELLO LN,,POINT (-97.735697 30.433213)
20, MARTIN LUTHER KING JR BLVD / RIO GRANDE ST,3,Communication issue,05/06/2025 01:01:33 PM,05/06/2025 10:40:15 PM,1, MARTIN LUTHER KING JR BLVD, RIO GRANDE ST,POINT (-97.744835 30.282545)
604, LAKE CREEK PKWY / 183 HWY SVRD,3,Communication issue,05/06/2025 11:19:59 AM,05/06/2025 10:40:15 PM,1, LAKE CREEK PKWY,US 183 HWY SVRD,POINT (-97.794586 30.461142)
1004,US 290 HWY / W 290 WB AT JOE TANNER TRN,3,Communication issue,04/11/2023 02:19:01 PM,05/06/2025 10:40:15 PM,1,US 290 HWY, W 290 WB AT JOE TANNER TRN,POINT (-97.858627 30.235098)
764, PARMER LN / HARRISGLENN DR,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, PARMER LN, HARRISGLENN DR,POINT (-97.654923 30.399542)
133, RIVERSIDE DR / BARTON SPRINGS RD,3,Communication issue,04/18/2025 09:42:32 AM,05/06/2025 10:40:15 PM,1, RIVERSIDE DR, BARTON SPRINGS RD,POINT (-97.748428 30.258638)
473, LAMAR BLVD / THURMOND ST,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, LAMAR BLVD, THURMOND ST,POINT (-97.705635 30.353352)
430, LAKE AUSTIN BLVD / ATLANTA ST,3,Communication issue,05/05/2025 09:53:49 AM,05/06/2025 10:40:15 PM,1, LAKE AUSTIN BLVD, ATLANTA ST,POINT (-97.770485 30.277218)
562,2901 BLK E PARMER LN (Samsung Plant Driveway),3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, PARMER LN,,POINT (-97.635544 30.378025)
213, ENFIELD RD / HARTFORD RD,3,Communication issue,04/22/2025 08:22:02 AM,05/06/2025 10:40:15 PM,2, ENFIELD RD, HARTFORD RD,POINT (-97.761864 30.284676)
4042, RIATA VISTA CIR / RIATA PARK CT (Tercello (Apple Campus East)),3,Communication issue,05/06/2025 10:38:54 PM,05/06/2025 10:40:15 PM,254, RIATA VISTA CIR, RIATA PARK CT,POINT (-97.733019 30.432521)
24, LAVACA ST / MARTIN LUTHER KING JR BLVD,3,Communication issue,05/06/2025 01:01:33 PM,05/06/2025 10:40:15 PM,1, LAVACA ST, MARTIN LUTHER KING JR BLVD,POINT (-97.740509 30.281328)
1099, 4TH ST / SABINE ST,3,Communication issue,04/24/2025 02:52:36 PM,05/06/2025 10:40:15 PM,0, 4TH ST, SABINE ST,POINT (-97.736792 30.264362)
